order_id,customer_name,email,phone,address,size,color,style,tv_show,quantity,price,fulfillment_type
1,Mrs. Cathy Gonzales,melissariggs@example.com,7221105237,"892 Vaughn Shoals, North Tasha, IN 02444",XXL,Red,Crewneck,Breaking Bad,4,44.05,shipping
2,Nicole Ortega,jonathonmoore@example.net,001-633-425-9616x59424,"2872 Mark Passage, South Russellstad, MI 07814",XXL,Green,Long Sleeve,Stranger Things,2,36.91,shipping
3,Wanda Rodriguez,richardberg@example.net,+1-553-417-6404x06079,"9435 Thompson Hill Suite 513, South Tylerbury, FM 82389",XL,Green,Crewneck,The Office,2,47.12,shipping
4,Sarah Mcdaniel,jerrybell@example.com,2106526090,"81491 Peter Mountains Apt. 249, Petersonfort, VI 11119",XXL,Black,Hoodie,Friends,5,38.70,shipping
5,Patricia Hale,ghunt@example.com,1495448297,"11083 Ashley Summit, Rogersview, AS 18591",S,Red,Crewneck,Stranger Things,4,36.18,shipping
6,Jason Ryan,martinezjonathan@example.net,856.608.5919,"30569 Carey Turnpike Suite 820, Aliciashire, WV 98120",XL,Blue,V-Neck,Breaking Bad,5,48.56,shipping
7,Christopher Neal,moralesmatthew@example.net,0397085152,"64165 William Pines Apt. 898, New Keith, AR 09922",XL,Blue,Crewneck,The Office,5,24.33,pickup
8,Karen Reed,miguel98@example.net,902.365.2260,"7963 Stephanie Way Suite 609, West Belinda, CT 76367",XXL,Yellow,V-Neck,Stranger Things,5,48.78,pickup
9,Ricardo Francis,amanda26@example.org,123-399-0781x189,"311 Torres Walks Suite 650, West Richardtown, MN 21132",XXL,Black,Hoodie,Breaking Bad,3,37.61,pickup
10,Benjamin Carter,olang@example.net,(567)192-0525x44014,"38693 Jennifer Ramp, Rodriguezville, NH 30171",XL,Red,Long Sleeve,Friends,4,43.94,pickup
11,Brittany Burnett,ahall@example.com,001-731-933-4570,"17370 Hernandez Road Apt. 028, New Eric, IA 41448",XL,White,V-Neck,Stranger Things,5,34.95,pickup
12,Victoria Anderson,padkins@example.net,856-641-9092,"PSC 9271, Box 9061, APO AA 29720",XXL,Gray,V-Neck,Stranger Things,2,38.42,pickup
13,Valerie Walsh,nicolecunningham@example.org,688-761-8939,"50652 Jason Mission Apt. 199, East Joy, SC 20639",XXL,Gray,Crewneck,Breaking Bad,2,25.52,pickup
14,Cory Green,christopher60@example.com,(480)483-0959,"2747 Jason Springs Suite 819, Port Rachelburgh, KY 81077",XL,White,Hoodie,Friends,2,16.71,shipping
15,Diana Garcia,christine14@example.org,(702)733-3729,"PSC 4322, Box 6482, APO AP 12328",S,Green,Crewneck,Friends,5,16.24,pickup
16,David Torres,trevinostacey@example.org,(453)990-7392,"051 Sara Spring Apt. 091, New Tylerborough, MN 13499",S,Gray,Crewneck,Game of Thrones,1,15.51,pickup
17,Patricia Williams,curtis11@example.com,896.081.8601x50559,"492 John Flats, Nicholasburgh, DE 73980",L,Red,Round Neck,Stranger Things,3,30.70,shipping
18,Kirk Sutton,arthurperez@example.org,+1-405-740-9233x76026,"4794 Renee Trail Suite 600, Yvonnechester, VA 86658",XXL,Black,Long Sleeve,Stranger Things,3,43.59,shipping
19,Joseph Richardson,kenneth81@example.org,001-752-824-5485x8684,"7513 Lisa Plaza Suite 922, Jeremiahstad, MI 49478",XL,Gray,Hoodie,Game of Thrones,4,22.83,pickup
20,Bradley West,kpalmer@example.com,001-138-684-3287x00479,"29688 Robert Trail Apt. 395, Kimborough, MH 11144",XXL,Gray,Round Neck,Game of Thrones,3,43.33,pickup
21,Andrew Gutierrez,jacquelinepalmer@example.org,+1-379-194-6406x5137,"USS Clark, FPO AE 85057",S,Blue,Crewneck,Stranger Things,3,30.41,shipping
22,Patricia Coleman,snyderlaura@example.com,381-220-9865,"24651 Heather Rapids Apt. 339, Jameston, ME 79315",L,Red,V-Neck,The Office,3,32.23,pickup
