order_id,customer_name,email,phone,address,size,color,style,tv_show,quantity,price,fulfillment_type
1,Mrs. Cathy Gonzales,melissariggs@example.com,7221105237,"892 Vaughn Shoals, North Tasha, IN 02444",XXL,Red,Crewneck,Breaking Bad,4,44.05,shipping
2,Nicole Ortega,jonathonmoore@example.net,001-633-425-9616x59424,"2872 Mark Passage, South Russellstad, MI 07814",XXL,Green,Long Sleeve,Stranger Things,2,36.91,shipping
3,Wanda Rodriguez,richardberg@example.net,+1-553-417-6404x06079,"9435 Thompson Hill Suite 513, South Tylerbury, FM 82389",XL,Green,Crewneck,The Office,2,47.12,shipping
4,Sarah Mcdaniel,jerrybell@example.com,2106526090,"81491 Peter Mountains Apt. 249, Petersonfort, VI 11119",XXL,Black,Hoodie,Friends,5,38.70,shipping
5,Patricia Hale,ghunt@example.com,1495448297,"11083 Ashley Summit, Rogersview, AS 18591",S,Red,Crewneck,Stranger Things,4,36.18,shipping
6,Jason Ryan,martinezjonathan@example.net,856.608.5919,"30569 Carey Turnpike Suite 820, Aliciashire, WV 98120",XL,Blue,V-Neck,Breaking Bad,5,48.56,shipping
14,Cory Green,christopher60@example.com,(480)483-0959,"2747 Jason Springs Suite 819, Port Rachelburgh, KY 81077",XL,White,Hoodie,Friends,2,16.71,shipping
17,Patricia Williams,curtis11@example.com,896.081.8601x50559,"492 John Flats, Nicholasburgh, DE 73980",L,Red,Round Neck,Stranger Things,3,30.70,shipping
18,Kirk Sutton,arthurperez@example.org,+1-405-740-9233x76026,"4794 Renee Trail Suite 600, Yvonnechester, VA 86658",XXL,Black,Long Sleeve,Stranger Things,3,43.59,shipping
21,Andrew Gutierrez,jacquelinepalmer@example.org,+1-379-194-6406x5137,"USS Clark, FPO AE 85057",S,Blue,Crewneck,Stranger Things,3,30.41,shipping
25,Cynthia Carey,ehoffman@example.com,882.638.7119x8124,"249 Lozano Orchard, Ginamouth, CA 26218",M,Green,Long Sleeve,The Office,1,17.98,shipping
26,Renee Spencer,xnichols@example.com,001-449-894-9661,"670 Brian Plain, East Matthew, OR 22806",M,Gray,Hoodie,The Office,1,33.68,shipping
28,Angel Weaver,ksanchez@example.net,533-223-9464x42783,"778 Alexa Glens, Mariahmouth, MA 38471",XXL,Red,V-Neck,Breaking Bad,3,22.73,shipping
31,Sean Jennings,powerschristine@example.net,+1-377-786-8889x25349,"USNV Mclean, FPO AA 07049",XL,White,Hoodie,Breaking Bad,4,16.20,shipping
34,Antonio Wright,brownvincent@example.org,001-971-348-6751,"8317 Brian Forges Apt. 030, South Tom, RI 61956",XXL,Gray,Crewneck,Stranger Things,1,43.79,shipping
36,Shelly Cole,acook@example.com,(125)627-2078x410,"143 Mercado Parkways, West Paulaside, NV 36805",L,Gray,Hoodie,Game of Thrones,3,22.11,shipping
38,Grace Stewart,tony95@example.net,001-450-326-9827,"1901 Smith Mount, South Christina, AK 68425",XXL,White,Round Neck,Game of Thrones,1,34.20,shipping
39,Patrick Diaz,snyderray@example.com,+1-605-093-7779,"95343 Ferguson Square Apt. 310, New Kellyborough, CT 00823",XXL,Yellow,Long Sleeve,The Office,4,22.73,shipping
40,Julie Bradford,heatherhill@example.com,8598070496,"389 Julie Circle Apt. 161, Angelaburgh, WA 74446",M,Black,Crewneck,Stranger Things,2,44.64,shipping
41,Taylor Rojas,qmiles@example.org,+1-471-732-1317,"8662 James Radial, Port David, NV 94461",L,Gray,Hoodie,Breaking Bad,1,48.18,shipping
42,Zachary Taylor,kramerangelica@example.net,083.180.9464x53295,"6510 Chavez Lights, Dennishaven, PR 23434",L,Black,Long Sleeve,Game of Thrones,1,49.18,shipping
43,Karen Brown,fadams@example.org,294-270-6848,"132 Obrien Garden Apt. 276, West Matthew, AR 82460",XXL,Yellow,Round Neck,Game of Thrones,1,15.38,shipping
